time,cooling_load,ambient_temperature,electricity_price,pv_power_generation
0.0833333333333333,0.0,15.432046366477351,0.03,0.0
0.1666666666666666,0.0,15.407955024653653,0.03,0.0
0.25,0.0,15.378917241231608,0.03,0.0
0.3333333333333333,0.0,15.358328062084658,0.03,0.0
0.4166666666666666,0.0,15.348690407824485,0.03,0.0
0.5,0.0,15.346431244030338,0.03,0.0
0.5833333333333333,0.0,15.347363070311877,0.03,0.0
0.6666666666666666,0.0,15.349007421356124,0.03,0.0
0.75,0.0,15.35052706108185,0.03,0.0
0.8333333333333333,0.0,15.351902825755916,0.03,0.0
0.9166666666666666,0.0,15.353330253455647,0.03,0.0
1.0,0.0,15.354945788552431,0.03,0.0
1.0833333333333333,0.0,15.35543308256851,0.03,0.0
1.1666666666666667,0.0,15.354446722345912,0.03,0.0
1.25,0.0,15.352428597617026,0.03,0.0
1.3333333333333333,0.0,15.34996128528484,0.03,0.0
1.4166666666666663,0.0,15.347455437485468,0.03,0.0
1.5,0.0,15.345126057663498,0.03,0.0
1.5833333333333333,0.0,15.34301185494764,0.03,0.0
1.6666666666666663,0.0,15.34105801050872,0.03,0.0
1.75,0.0,15.339193643514454,0.03,0.0
1.8333333333333333,0.0,15.33738033542784,0.03,0.0
1.9166666666666663,0.0,15.335600243572772,0.03,0.0
2.0,0.0,15.333851472689505,0.03,0.0
2.083333333333333,0.0,15.332080707019315,0.03,0.0
2.166666666666667,0.0,15.330287889947533,0.03,0.0
2.25,0.0,15.328488480604172,0.03,0.0
2.333333333333333,0.0,15.32668368912047,0.03,0.0
2.416666666666667,0.0,15.324867890591667,0.03,0.0
2.5,0.0,15.32304373604747,0.03,0.0
2.583333333333333,0.0,15.32122448501076,0.03,0.0
2.666666666666667,0.0,15.31941834290875,0.03,0.0
2.75,0.0,15.317623108203923,0.03,0.0
2.833333333333333,0.0,15.315848937400665,0.03,0.0
2.916666666666667,0.0,15.314103850587845,0.03,0.0
3.0,0.0,15.312384648626288,0.03,0.0
3.083333333333333,0.0,15.310637937492304,0.03,0.0
3.166666666666667,0.0,15.30885889134396,0.03,0.0
3.25,0.0,15.307067030380272,0.03,0.0
3.333333333333333,0.0,15.305274292424576,0.03,0.0
3.416666666666667,0.0,15.303479145742504,0.03,0.0
3.5,0.0,15.301681178912894,0.03,0.0
3.583333333333333,0.0,15.299870650198203,0.03,0.0
3.6666666666666665,0.0,15.29802882809566,0.03,0.0
3.75,0.0,15.296139625659668,0.03,0.0
3.833333333333333,0.0,15.294190786245403,0.03,0.0
3.9166666666666665,0.0,15.292170907568403,0.03,0.0
4.0,0.0,15.290068979811956,0.03,0.0
4.083333333333333,0.0,15.287921269494172,0.03,0.0
4.166666666666667,0.0,15.285735498408588,0.03,0.0
4.25,0.0,15.283496170697912,0.03,0.0
4.333333333333333,0.0,15.28118564025747,0.03,0.0
4.416666666666667,0.0,15.278796833428236,0.03,0.0
4.5,0.0,15.276330399589169,0.03,0.0
4.583333333333333,0.0,15.27379615341321,0.03,0.0
4.666666666666667,0.0,15.271209079363343,0.03,0.0
4.75,0.0,15.268585175437352,0.03,0.0
4.833333333333333,0.0,15.265928952491867,0.03,0.0
4.916666666666667,0.0,15.263239215390907,0.03,2.8727519579109195
5.0,0.0,15.260523168703363,0.03,4.503303002044882
5.083333333333333,0.0,15.257797986166464,0.03,6.097863283939996
5.166666666666667,0.0,15.255079341626091,0.03,7.659294310197668
5.25,0.0,15.2523844418518,0.03,9.198594517250838
5.333333333333333,0.0,15.249731876533833,0.03,10.725405232072868
5.416666666666667,0.0,15.24713651214822,0.03,12.246748429157194
5.5,0.0,15.244598278875271,0.03,13.767465478310614
5.583333333333333,0.0,15.242116476525007,0.03,16.35810205638805
5.666666666666667,0.0,15.239695562986071,0.03,19.00683641633288
5.75,0.0,15.237341693032894,0.03,21.70525388830836
5.833333333333333,0.0,15.235060860157212,0.03,24.44709585537556
5.916666666666667,0.0,15.23285698095151,0.03,27.22755104640142
6.0,0.0,15.230731903974444,0.03,30.042813240052347
6.083333333333333,0.0,15.228687596468504,0.03,32.8897956272959
6.166666666666667,0.0,15.226733355099944,0.03,35.76594089470534
6.25,0.0,15.22487384377926,0.03,38.66909115920623
6.333333333333333,0.0,15.223103681326153,0.03,41.597396776837776
6.416666666666667,0.0,15.221412142939611,0.03,44.549250750964205
6.5,0.0,15.219791758927894,0.03,47.52324058069989
6.583333333333333,0.0,15.218231083217823,0.03,50.91524370917026
6.666666666666667,0.0,15.216720516625816,0.03,54.33356197855
6.75,0.0,15.21524736355419,0.03,57.7765606058492
6.833333333333333,0.0,15.213810422082352,0.03,61.2427801692152
6.916666666666667,0.0,15.212406526092794,0.03,64.73090867455078
7.0,0.0,15.21102288278092,0.03,68.23975924703137
7.083333333333333,0.0,15.209734169503664,0.165,71.76361386185056
7.166666666666667,0.0,15.208559418808653,0.165,75.30566361309597
7.25,0.0,15.20747235314182,0.165,78.86499756949272
7.333333333333333,0.0,15.206434287907602,0.165,82.44077546274104
7.416666666666667,0.0,15.20541997213957,0.165,86.03221929082355
7.5,0.0,15.204433492013822,0.165,89.63860623331564
7.583333333333333,0.0,15.203486095471176,0.165,93.57988705053366
7.666666666666667,0.0,15.202586148715785,0.165,97.53748645115635
7.75,0.0,15.201737983658774,0.165,101.51061454900562
7.833333333333333,0.0,15.200954389039929,0.165,105.49853444681486
7.916666666666667,0.0,15.20024766832918,0.165,109.50055686689618
8.0,0.0,15.199621505661144,0.165,113.51603550143524
8.083333333333334,0.0,15.199073922328806,0.3,117.54436294720767
