time,cooling_load,ambient_temperature,electricity_price,pv_power_generation
1.0,0.0,15.599174272319257,0.03,0.0
2.0,0.0,15.501484924633,0.03,0.0
3.0,0.0,15.448300856170114,0.03,0.0
4.0,0.0,15.434297740041025,0.03,0.0
5.0,0.0,15.408907849400917,0.03,0.0
6.0,0.0,15.374018432019316,0.03,21.920759354960257
7.0,0.0,15.345579876821793,0.03,73.18702308860566
8.0,4451.196130152192,15.34079419415039,0.165,137.5875183660402
9.0,3093.5518971569463,15.35497475486496,0.3,211.44866842614624
10.0,3362.998733238627,15.389158101332432,0.3,283.95263318227745
11.0,3474.658395444657,15.4452362467181,0.3,343.2393267234163
12.0,3497.6651172946986,15.509216018235072,0.3,381.38375887310735
13.0,3583.3960727056574,15.562333608342938,0.3,389.06091870239794
14.0,3456.010159084312,15.611934082443735,0.3,368.21867528090553
15.0,3289.085842773784,15.6705905521601,0.3,324.918983400993
16.0,2998.67587750566,15.76673650481226,0.3,271.3845186576699
17.0,3126.280173554603,15.831644406465868,0.3,202.38809637815055
18.0,3025.276028091871,15.87960452384712,0.3,130.88638083069986
19.0,2976.7263703474846,15.91659383611692,0.3,64.63473951430733
20.0,3194.3585176537467,15.921726025035412,0.165,9.539045745678758
21.0,0.0,15.904247439988684,0.165,0.0
22.0,0.0,15.85779406282324,0.165,0.0
23.0,0.0,15.81072378017627,0.165,0.0
24.0,0.0,15.780622601932278,0.03,0.0
1.0,0.0,15.731179658487587,0.03,0.0
2.0,0.0,15.644583585911406,0.03,0.0
3.0,0.0,15.559477167402314,0.03,0.0
4.0,0.0,15.486553200535722,0.03,0.0
5.0,0.0,15.412358684813004,0.03,0.0
6.0,0.0,15.35091231767258,0.03,84.98018410204133
7.0,0.0,15.330437926144752,0.03,315.0041632518269
8.0,4306.087774587861,15.425404660369368,0.165,635.4090605656608
9.0,3557.613305239409,15.620611421757554,0.3,985.7506436453544
10.0,3356.8144446704646,15.807170035602562,0.3,1287.486806923834
11.0,3600.037330763922,15.914269647028684,0.3,1484.8352780816865
12.0,3651.192917401682,16.041476757887818,0.3,1545.092561750405
13.0,3733.311141878363,16.146025197165336,0.3,1462.9839564308074
